type_slug,type,method,target_budget_tokens,score,num_datasets
summarization,Summarization,SurrogateKV,1024,24.1033,3
summarization,Summarization,SurrogateKV,2048,25.2467,3
few_shot_learning,Few-shot Learning,FullKV,,69.0233,3
few_shot_learning,Few-shot Learning,H2O,64,53.79,3
few_shot_learning,Few-shot Learning,H2O,128,57.73,3
few_shot_learning,Few-shot Learning,H2O,256,62.6733,3
few_shot_learning,Few-shot Learning,H2O,512,66.7467,3
few_shot_learning,Few-shot Learning,H2O,1024,68.5,3
few_shot_learning,Few-shot Learning,H2O,2048,68.7433,3
few_shot_learning,Few-shot Learning,SnapKV,64,53.7467,3
few_shot_learning,Few-shot Learning,SnapKV,128,56.86,3
few_shot_learning,Few-shot Learning,SnapKV,256,64.0267,3
few_shot_learning,Few-shot Learning,SnapKV,512,67.1567,3
few_shot_learning,Few-shot Learning,SnapKV,1024,68.0333,3
few_shot_learning,Few-shot Learning,SnapKV,2048,68.7467,3
few_shot_learning,Few-shot Learning,PyramidKV,64,61.2733,3
few_shot_learning,Few-shot Learning,PyramidKV,128,64.9067,3
few_shot_learning,Few-shot Learning,PyramidKV,256,67.3267,3
few_shot_learning,Few-shot Learning,PyramidKV,512,67.8033,3
few_shot_learning,Few-shot Learning,PyramidKV,1024,68.2467,3
few_shot_learning,Few-shot Learning,PyramidKV,2048,68.7433,3
few_shot_learning,Few-shot Learning,DynamicKV,64,58.69,3
few_shot_learning,Few-shot Learning,DynamicKV,128,64.68,3
few_shot_learning,Few-shot Learning,DynamicKV,256,66.94,3
few_shot_learning,Few-shot Learning,DynamicKV,512,67.7267,3
few_shot_learning,Few-shot Learning,DynamicKV,1024,68.2367,3
few_shot_learning,Few-shot Learning,DynamicKV,2048,68.6833,3
few_shot_learning,Few-shot Learning,SurrogateKV,64,57.2733,3
few_shot_learning,Few-shot Learning,SurrogateKV,128,64.0133,3
few_shot_learning,Few-shot Learning,SurrogateKV,256,66.51,3
few_shot_learning,Few-shot Learning,SurrogateKV,512,67.75,3
few_shot_learning,Few-shot Learning,SurrogateKV,1024,68.2067,3
few_shot_learning,Few-shot Learning,SurrogateKV,2048,68.6,3
synthetic,Synthetic,FullKV,,36.98,2
synthetic,Synthetic,H2O,64,37.275,2
synthetic,Synthetic,H2O,128,37.125,2
synthetic,Synthetic,H2O,256,36.925,2
synthetic,Synthetic,H2O,512,37.44,2
synthetic,Synthetic,H2O,1024,37.285,2
synthetic,Synthetic,H2O,2048,37.44,2
synthetic,Synthetic,SnapKV,64,36.805,2
synthetic,Synthetic,SnapKV,128,36.74,2
synthetic,Synthetic,SnapKV,256,37.375,2
synthetic,Synthetic,SnapKV,512,37.405,2
synthetic,Synthetic,SnapKV,1024,37.205,2
synthetic,Synthetic,SnapKV,2048,37.205,2
synthetic,Synthetic,PyramidKV,64,37.145,2
synthetic,Synthetic,PyramidKV,128,37.21,2
synthetic,Synthetic,PyramidKV,256,37.415,2
synthetic,Synthetic,PyramidKV,512,37.605,2
synthetic,Synthetic,PyramidKV,1024,37.315,2
synthetic,Synthetic,PyramidKV,2048,37.09,2
synthetic,Synthetic,DynamicKV,64,37.24,2
synthetic,Synthetic,DynamicKV,128,36.86,2
synthetic,Synthetic,DynamicKV,256,37.235,2
synthetic,Synthetic,DynamicKV,512,37.555,2
synthetic,Synthetic,DynamicKV,1024,37.405,2
synthetic,Synthetic,DynamicKV,2048,37.24,2
synthetic,Synthetic,SurrogateKV,64,37.355,2
synthetic,Synthetic,SurrogateKV,128,37.375,2
synthetic,Synthetic,SurrogateKV,256,37.125,2
synthetic,Synthetic,SurrogateKV,512,37.46,2
synthetic,Synthetic,SurrogateKV,1024,37.07,2
synthetic,Synthetic,SurrogateKV,2048,36.945,2
code,Code,FullKV,,56.62,2
code,Code,H2O,64,51.7,2
code,Code,H2O,128,54.28,2
code,Code,H2O,256,57.13,2
code,Code,H2O,512,58.84,2
code,Code,H2O,1024,58.425,2
code,Code,H2O,2048,58.23,2
code,Code,SnapKV,64,52.835,2
code,Code,SnapKV,128,56.515,2
code,Code,SnapKV,256,58.145,2
code,Code,SnapKV,512,58.04,2
code,Code,SnapKV,1024,58.26,2
code,Code,SnapKV,2048,57.745,2
code,Code,PyramidKV,64,51.78,2
code,Code,PyramidKV,128,54.835,2
code,Code,PyramidKV,256,56.13,2
code,Code,PyramidKV,512,57.16,2
code,Code,PyramidKV,1024,57.51,2
code,Code,PyramidKV,2048,57.685,2
code,Code,DynamicKV,64,52.305,2
code,Code,DynamicKV,128,55.99,2
code,Code,DynamicKV,256,58.095,2
code,Code,DynamicKV,512,59.335,2
code,Code,DynamicKV,1024,58.81,2
code,Code,DynamicKV,2048,57.85,2
code,Code,SurrogateKV,64,52.98,2
code,Code,SurrogateKV,128,55.96,2
code,Code,SurrogateKV,256,58.32,2
code,Code,SurrogateKV,512,59.67,2
code,Code,SurrogateKV,1024,59.095,2
code,Code,SurrogateKV,2048,58.015,2
average,Avg.,FullKV,,41.9213,16
average,Avg.,H2O,64,33.5256,16
average,Avg.,H2O,128,35.5619,16
average,Avg.,H2O,256,37.8081,16
average,Avg.,H2O,512,39.68,16
average,Avg.,H2O,1024,40.6762,16
average,Avg.,H2O,2048,41.5138,16
average,Avg.,SnapKV,64,33.24,16
average,Avg.,SnapKV,128,35.665,16
average,Avg.,SnapKV,256,38.8881,16
average,Avg.,SnapKV,512,40.26,16
average,Avg.,SnapKV,1024,40.9244,16
average,Avg.,SnapKV,2048,41.715,16
average,Avg.,PyramidKV,64,35.005,16
average,Avg.,PyramidKV,128,37.4263,16
average,Avg.,PyramidKV,256,39.3331,16
average,Avg.,PyramidKV,512,40.1769,16
average,Avg.,PyramidKV,1024,41.0431,16
average,Avg.,PyramidKV,2048,41.685,16
average,Avg.,DynamicKV,64,34.6869,16
average,Avg.,DynamicKV,128,37.8031,16
average,Avg.,DynamicKV,256,39.7019,16
average,Avg.,DynamicKV,512,40.605,16
average,Avg.,DynamicKV,1024,41.1875,16
average,Avg.,DynamicKV,2048,41.5938,16
average,Avg.,SurrogateKV,64,34.6638,16
average,Avg.,SurrogateKV,128,37.9888,16
average,Avg.,SurrogateKV,256,39.5625,16
average,Avg.,SurrogateKV,512,40.8819,16
average,Avg.,SurrogateKV,1024,41.4525,16
average,Avg.,SurrogateKV,2048,41.7825,16
