method,budget,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,musique,gov_report,qmsum,multi_news,trec,triviaqa,samsum,passage_count,passage_retrieval_en,lcc,repobench_p,average
DynamicKV,64,21.82,11.94,30.08,33.93,24.98,17.42,18.54,22.13,18.99,53.5,87.12,35.45,4.98,69.5,54.17,50.44,34.69
DynamicKV,128,22.23,14.85,34.3,41.23,28.93,19.87,20.37,22.22,21.11,66.0,89.34,38.7,4.22,69.5,57.64,54.34,37.8
DynamicKV,256,23.64,19.57,36.59,43.29,33.46,20.13,21.66,22.52,22.89,71.0,90.02,39.8,4.97,69.5,60.41,55.78,39.7
DynamicKV,512,24.79,24.7,36.63,43.6,32.51,20.13,22.98,22.81,24.57,72.0,90.39,40.79,5.61,69.5,61.33,57.34,40.6
DynamicKV,1024,25.13,26.99,39.03,43.9,34.22,20.13,24.27,22.79,25.4,72.5,90.56,41.65,5.31,69.5,60.79,56.83,41.19
DynamicKV,2048,25.44,28.7,39.47,43.53,34.99,21.42,26.06,23.33,26.33,73.0,90.56,42.49,5.23,69.25,59.52,56.18,41.59
SurrogateKV-Snap,64,21.13,12.15,33.13,37.02,28.92,17.21,15.88,21.38,15.31,51.0,87.64,33.18,5.38,69.33,54.08,51.88,34.66
SurrogateKV-Snap,128,22.98,14.14,35.4,43.71,32.52,20.95,18.7,21.49,19.22,66.0,89.73,36.31,5.25,69.5,56.78,55.14,37.99
SurrogateKV-Snap,256,23.81,19.72,35.67,44.44,33.44,21.03,20.03,22.49,21.95,69.5,90.44,39.59,5.25,69.0,60.47,56.17,39.56
SurrogateKV-Snap,512,23.14,25.95,39.47,44.22,33.89,21.36,21.89,22.96,23.72,72.0,90.52,40.73,5.42,69.5,61.9,57.44,40.88
SurrogateKV-Snap,1024,25.67,29.93,38.35,44.36,34.57,21.1,24.25,22.88,25.18,72.5,90.56,41.56,5.14,69.0,60.69,57.5,41.45
SurrogateKV-Snap,2048,26.29,30.73,39.15,43.89,35.35,21.65,26.29,23.23,26.22,73.0,90.56,42.24,5.14,68.75,59.66,56.37,41.78
SurrogateKV-Dynamic,64,20.0800,10.5900,34.6800,37.7400,28.1500,18.1300,16.8100,21.0800,16.2300,47.0000,85.7700,32.4800,5.5000,68.4500,54.4800,52.3900,34.3475
SurrogateKV-Dynamic,128,22.3800,16.9700,35.0100,40.6000,31.6600,19.6500,18.9200,21.4600,20.2300,60.0000,88.6900,32.4700,5.2600,69.5000,57.8600,54.5900,37.2031
SurrogateKV-Dynamic,256,23.3000,22.7700,36.9900,43.1400,32.3200,20.0500,20.3600,22.6000,22.3700,69.5000,90.6400,35.9600,5.0500,69.0000,59.5500,56.4200,39.3762
SurrogateKV-Dynamic,512,24.3500,25.8600,37.5700,43.5400,35.4900,21.0000,22.2000,22.2500,23.8800,72.0000,90.6100,40.1900,5.2500,69.0000,62.2600,57.4900,40.8088
SurrogateKV-Dynamic,1024,25.8200,28.9100,39.2100,43.3000,34.2800,20.2700,24.3200,22.6900,25.0700,72.5000,90.5600,41.8800,5.1900,69.0000,60.7000,56.7300,41.2769
SurrogateKV-Dynamic,2048,25.9400,30.6800,40.1100,43.5200,34.8400,21.5500,26.3400,23.1600,26.3500,73.0000,90.5600,42.1500,5.0400,69.0000,59.7800,56.7900,41.8006
SurrogateKV-Ada,64,21.63,9.98,31.52,39.99,30.61,18.59,16.54,21.44,17.81,40.5,88.62,36.55,5.08,69.33,56.94,55.22,35.02
SurrogateKV-Ada,128,20.93,18.29,34.57,41.04,35.19,20.54,19.7,21.79,20.98,61.5,90.81,37.52,5.85,69.25,60.19,56.62,38.42
SurrogateKV-Ada,256,24.37,22.74,38.26,43.27,33.43,20.74,21.22,22.08,22.77,69.5,90.66,39.38,5.87,69.5,60.93,58.38,40.19
SurrogateKV-Ada,512,25.28,25.72,38.53,44.02,35.38,20.26,22.61,23.12,24.27,73.5,90.48,40.49,5.49,69.25,62.48,59.3,41.26
SurrogateKV-Ada,1024,25.38,29.2,39.02,44.02,36.64,20.2,24.09,22.85,25.33,74.0,90.43,42.13,5.42,69.25,60.81,57.7,41.65
SurrogateKV-Ada,2048,25.84,30.69,39.85,44.11,35.72,21.84,26.46,23.37,26.31,74.0,90.64,42.02,4.79,69.25,59.72,55.47,41.88
